model,model_display_name,query_type,condition_a,condition_b,metric,n_pairs,metric_a,metric_b,paired_metric_diff,ci_low,ci_high,p_diff_le_0
qwen3_8b,Qwen3-8B,ate,symbolic_matched_binary_score,symbolic_shuffled_binary_score,strict_ccc,390,0.7487179487179487,0.5282051282051282,0.2205128205128205,0.16153846153846155,0.28205128205128205,0.0
qwen3_8b,Qwen3-8B,ate,symbolic_matched_binary_score,symbolic_shuffled_binary_score,scca,390,0.7256410256410256,0.4794871794871795,0.24615384615384617,0.18717948717948718,0.3076923076923077,0.0
qwen3_8b,Qwen3-8B,ate,symbolic_matched_binary_score,symbolic_shuffled_binary_score,wrong_flip,390,0.023076923076923078,0.04871794871794872,-0.02564102564102564,-0.05128205128205128,0.0,0.983
qwen3_8b,Qwen3-8B,ate,symbolic_matched_binary_score,symbolic_shuffled_binary_score,signed_ccc,390,0.7025641025641025,0.4307692307692308,0.2717948717948718,0.19743589743589743,0.3384615384615385,0.0
qwen3_8b,Qwen3-8B,ate,symbolic_shuffled_binary_score,nl_binary_score,strict_ccc,390,0.5282051282051282,0.6923076923076923,-0.1641025641025641,-0.2282051282051282,-0.10256410256410256,1.0
qwen3_8b,Qwen3-8B,ate,symbolic_shuffled_binary_score,nl_binary_score,scca,390,0.4794871794871795,0.6564102564102564,-0.17692307692307693,-0.23846153846153847,-0.11538461538461539,1.0
qwen3_8b,Qwen3-8B,ate,symbolic_shuffled_binary_score,nl_binary_score,wrong_flip,390,0.04871794871794872,0.035897435897435895,0.01282051282051282,-0.01282051282051282,0.038461538461538464,0.157
qwen3_8b,Qwen3-8B,ate,symbolic_shuffled_binary_score,nl_binary_score,signed_ccc,390,0.4307692307692308,0.6205128205128205,-0.18974358974358974,-0.24878205128205128,-0.12564102564102564,1.0
qwen3_8b,Qwen3-8B,backadj,symbolic_matched_binary_score,nl_binary_score,strict_ccc,395,0.6759493670886076,0.6962025316455697,-0.020253164556962026,-0.043037974683544304,0.0,0.98
qwen3_8b,Qwen3-8B,backadj,symbolic_matched_binary_score,nl_binary_score,scca,395,0.3139240506329114,0.3240506329113924,-0.010126582278481013,-0.02278481012658228,-0.002531645569620253,1.0
