pair_index,pair_id,story_id,query_type,rung,component,layer,clean_id,corrupted_id,clean_label,corrupted_gold_label,clean_target_margin,corrupted_clean_target_margin,patched_clean_target_margin,recovery,corrupted_gold_margin,patched_corrupted_gold_margin,corrupted_gold_recovery,method,model,model_display_name,sample_mode,candidate_source
2,346->355,firing_employee,ett,3,residual,7,346,355,yes,no,13.875,11.9375,13.875,1.9375,-11.9375,-13.875,-1.9375,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
2,346->355,firing_employee,ett,3,residual,8,346,355,yes,no,13.875,11.9375,13.875,1.9375,-11.9375,-13.875,-1.9375,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
2,346->355,firing_employee,ett,3,residual,9,346,355,yes,no,13.875,11.9375,13.875,1.9375,-11.9375,-13.875,-1.9375,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
2,346->355,firing_employee,ett,3,residual,10,346,355,yes,no,13.875,11.9375,13.875,1.9375,-11.9375,-13.875,-1.9375,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
2,346->355,firing_employee,ett,3,residual,11,346,355,yes,no,13.875,11.9375,13.875,1.9375,-11.9375,-13.875,-1.9375,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
2,346->355,firing_employee,ett,3,residual,12,346,355,yes,no,13.875,11.9375,13.875,1.9375,-11.9375,-13.875,-1.9375,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
2,346->355,firing_employee,ett,3,residual,13,346,355,yes,no,13.875,11.9375,13.875,1.9375,-11.9375,-13.875,-1.9375,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
2,346->355,firing_employee,ett,3,residual,14,346,355,yes,no,13.875,11.9375,13.875,1.9375,-11.9375,-13.875,-1.9375,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
2,346->355,firing_employee,ett,3,residual,15,346,355,yes,no,13.875,11.9375,13.875,1.9375,-11.9375,-13.875,-1.9375,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
2,346->355,firing_employee,ett,3,residual,16,346,355,yes,no,13.875,11.9375,13.875,1.9375,-11.9375,-13.875,-1.9375,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
2,346->355,firing_employee,ett,3,residual,17,346,355,yes,no,13.875,11.9375,13.875,1.9375,-11.9375,-13.875,-1.9375,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
2,346->355,firing_employee,ett,3,residual,18,346,355,yes,no,13.875,11.9375,13.875,1.9375,-11.9375,-13.875,-1.9375,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
2,346->355,firing_employee,ett,3,residual,19,346,355,yes,no,13.875,11.9375,13.875,1.9375,-11.9375,-13.875,-1.9375,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
2,346->355,firing_employee,ett,3,residual,20,346,355,yes,no,13.875,11.9375,13.875,1.9375,-11.9375,-13.875,-1.9375,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
2,346->355,firing_employee,ett,3,residual,21,346,355,yes,no,13.875,11.9375,13.875,1.9375,-11.9375,-13.875,-1.9375,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
2,346->355,firing_employee,ett,3,residual,22,346,355,yes,no,13.875,11.9375,13.875,1.9375,-11.9375,-13.875,-1.9375,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
2,346->355,firing_employee,ett,3,residual,23,346,355,yes,no,13.875,11.9375,13.875,1.9375,-11.9375,-13.875,-1.9375,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
2,346->355,firing_employee,ett,3,residual,24,346,355,yes,no,13.875,11.9375,13.875,1.9375,-11.9375,-13.875,-1.9375,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
2,346->355,firing_employee,ett,3,residual,25,346,355,yes,no,13.875,11.9375,13.875,1.9375,-11.9375,-13.875,-1.9375,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
2,346->355,firing_employee,ett,3,residual,26,346,355,yes,no,13.875,11.9375,13.875,1.9375,-11.9375,-13.875,-1.9375,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
2,346->355,firing_employee,ett,3,residual,27,346,355,yes,no,13.875,11.9375,13.875,1.9375,-11.9375,-13.875,-1.9375,hf_forward_hook_residual,qwen3_4b,Qwen3-4B,formal,selected_subset
