eval_set,split,model,model_display_name,prompt_mode,prompt_condition,n,accuracy,symbolic_selection_rate
control_cv,19,qwen3_4b,Qwen3-4B,always_nl,Always NL,1006,0.5785288270377733,0.0
control_cv,19,qwen3_4b,Qwen3-4B,always_symbolic,Always Symbolic,1006,0.5685884691848907,1.0
control_cv,19,qwen3_4b,Qwen3-4B,query_router,Query Router,1006,0.5725646123260437,0.6182902584493042
control_cv,19,qwen3_4b,Qwen3-4B,confidence_by_query,Confidence Router,1006,0.5834990059642147,0.5377733598409543
control_cv,20,qwen3_4b,Qwen3-4B,always_nl,Always NL,969,0.5913312693498453,0.0
control_cv,20,qwen3_4b,Qwen3-4B,always_symbolic,Always Symbolic,969,0.6160990712074303,1.0
control_cv,20,qwen3_4b,Qwen3-4B,query_router,Query Router,969,0.6037151702786377,0.4066047471620227
control_cv,20,qwen3_4b,Qwen3-4B,confidence_by_query,Confidence Router,969,0.6057791537667698,0.5572755417956656
control_cv,21,qwen3_4b,Qwen3-4B,always_nl,Always NL,1062,0.5668549905838042,0.0
control_cv,21,qwen3_4b,Qwen3-4B,always_symbolic,Always Symbolic,1062,0.576271186440678,1.0
control_cv,21,qwen3_4b,Qwen3-4B,query_router,Query Router,1062,0.5847457627118644,0.5094161958568738
control_cv,21,qwen3_4b,Qwen3-4B,confidence_by_query,Confidence Router,1062,0.5932203389830508,0.4500941619585687
control_cv,22,qwen3_4b,Qwen3-4B,always_nl,Always NL,1024,0.564453125,0.0
control_cv,22,qwen3_4b,Qwen3-4B,always_symbolic,Always Symbolic,1024,0.5791015625,1.0
control_cv,22,qwen3_4b,Qwen3-4B,query_router,Query Router,1024,0.5771484375,0.4970703125
control_cv,22,qwen3_4b,Qwen3-4B,confidence_by_query,Confidence Router,1024,0.5927734375,0.4404296875
control_cv,23,qwen3_4b,Qwen3-4B,always_nl,Always NL,960,0.609375,0.0
control_cv,23,qwen3_4b,Qwen3-4B,always_symbolic,Always Symbolic,960,0.5958333333333333,1.0
control_cv,23,qwen3_4b,Qwen3-4B,query_router,Query Router,960,0.6072916666666667,0.8666666666666667
control_cv,23,qwen3_4b,Qwen3-4B,confidence_by_query,Confidence Router,960,0.6125,0.6833333333333333
control_cv,24,qwen3_4b,Qwen3-4B,always_nl,Always NL,1089,0.5858585858585859,0.0
control_cv,24,qwen3_4b,Qwen3-4B,always_symbolic,Always Symbolic,1089,0.5996326905417815,1.0
control_cv,24,qwen3_4b,Qwen3-4B,query_router,Query Router,1089,0.588613406795225,0.6299357208448118
control_cv,24,qwen3_4b,Qwen3-4B,confidence_by_query,Confidence Router,1089,0.5941230486685032,0.48117539026629935
control_cv,25,qwen3_4b,Qwen3-4B,always_nl,Always NL,1023,0.6001955034213099,0.0
control_cv,25,qwen3_4b,Qwen3-4B,always_symbolic,Always Symbolic,1023,0.6060606060606061,1.0
control_cv,25,qwen3_4b,Qwen3-4B,query_router,Query Router,1023,0.6089931573802542,0.36950146627565983
control_cv,25,qwen3_4b,Qwen3-4B,confidence_by_query,Confidence Router,1023,0.6168132942326491,0.4868035190615836
control_cv,26,qwen3_4b,Qwen3-4B,always_nl,Always NL,1185,0.5940928270042194,0.0
control_cv,26,qwen3_4b,Qwen3-4B,always_symbolic,Always Symbolic,1185,0.5907172995780591,1.0
control_cv,26,qwen3_4b,Qwen3-4B,query_router,Query Router,1185,0.5873417721518988,0.620253164556962
control_cv,26,qwen3_4b,Qwen3-4B,confidence_by_query,Confidence Router,1185,0.5966244725738397,0.5139240506329114
control_cv,27,qwen3_4b,Qwen3-4B,always_nl,Always NL,979,0.5883554647599591,0.0
control_cv,27,qwen3_4b,Qwen3-4B,always_symbolic,Always Symbolic,979,0.5955056179775281,1.0
control_cv,27,qwen3_4b,Qwen3-4B,query_router,Query Router,979,0.5965270684371808,0.4902962206332993
control_cv,27,qwen3_4b,Qwen3-4B,confidence_by_query,Confidence Router,979,0.6036772216547498,0.5791624106230848
control_cv,28,qwen3_4b,Qwen3-4B,always_nl,Always NL,1176,0.5799319727891157,0.0
control_cv,28,qwen3_4b,Qwen3-4B,always_symbolic,Always Symbolic,1176,0.5731292517006803,1.0
control_cv,28,qwen3_4b,Qwen3-4B,query_router,Query Router,1176,0.5739795918367347,0.75
control_cv,28,qwen3_4b,Qwen3-4B,confidence_by_query,Confidence Router,1176,0.5799319727891157,0.6105442176870748
control_cv,29,qwen3_4b,Qwen3-4B,always_nl,Always NL,1200,0.5891666666666666,0.0
control_cv,29,qwen3_4b,Qwen3-4B,always_symbolic,Always Symbolic,1200,0.5783333333333334,1.0
control_cv,29,qwen3_4b,Qwen3-4B,query_router,Query Router,1200,0.5916666666666667,0.4925
control_cv,29,qwen3_4b,Qwen3-4B,confidence_by_query,Confidence Router,1200,0.5766666666666667,0.625
control_cv,30,qwen3_4b,Qwen3-4B,always_nl,Always NL,1101,0.5994550408719346,0.0
control_cv,30,qwen3_4b,Qwen3-4B,always_symbolic,Always Symbolic,1101,0.5867393278837421,1.0
control_cv,30,qwen3_4b,Qwen3-4B,query_router,Query Router,1101,0.59763851044505,0.49318801089918257
control_cv,30,qwen3_4b,Qwen3-4B,confidence_by_query,Confidence Router,1101,0.594913714804723,0.6648501362397821
control_cv,31,qwen3_4b,Qwen3-4B,always_nl,Always NL,992,0.5877016129032258,0.0
control_cv,31,qwen3_4b,Qwen3-4B,always_symbolic,Always Symbolic,992,0.5665322580645161,1.0
control_cv,31,qwen3_4b,Qwen3-4B,query_router,Query Router,992,0.5735887096774194,0.7389112903225806
control_cv,31,qwen3_4b,Qwen3-4B,confidence_by_query,Confidence Router,992,0.5796370967741935,0.6068548387096774
control_cv,32,qwen3_4b,Qwen3-4B,always_nl,Always NL,1105,0.5601809954751131,0.0
control_cv,32,qwen3_4b,Qwen3-4B,always_symbolic,Always Symbolic,1105,0.5882352941176471,1.0
control_cv,32,qwen3_4b,Qwen3-4B,query_router,Query Router,1105,0.583710407239819,0.38371040723981903
control_cv,32,qwen3_4b,Qwen3-4B,confidence_by_query,Confidence Router,1105,0.5882352941176471,0.4579185520361991
control_cv,33,qwen3_4b,Qwen3-4B,always_nl,Always NL,952,0.5756302521008403,0.0
control_cv,33,qwen3_4b,Qwen3-4B,always_symbolic,Always Symbolic,952,0.5724789915966386,1.0
control_cv,33,qwen3_4b,Qwen3-4B,query_router,Query Router,952,0.5745798319327731,0.6165966386554622
control_cv,33,qwen3_4b,Qwen3-4B,confidence_by_query,Confidence Router,952,0.5840336134453782,0.4726890756302521
control_cv,34,qwen3_4b,Qwen3-4B,always_nl,Always NL,1101,0.5912806539509536,0.0
control_cv,34,qwen3_4b,Qwen3-4B,always_symbolic,Always Symbolic,1101,0.594913714804723,1.0
control_cv,34,qwen3_4b,Qwen3-4B,query_router,Query Router,1101,0.6049046321525886,0.5158946412352406
control_cv,34,qwen3_4b,Qwen3-4B,confidence_by_query,Confidence Router,1101,0.6003633060853769,0.444141689373297
