eval_set,model,model_display_name,diagnostic_source,dataset_variant,prompt_mode,n_pairs,n_valid_pairs,strict_ccc,correct_flip_rate,wrong_flip_rate,invariant_yes_rate,invariant_no_rate,scca,signed_ccc,invalid_pair_rate,split
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,query_router,1528,1528,0.431282722513089,0.30824607329842935,0.12303664921465969,0.23298429319371727,0.3357329842931937,0.30824607329842935,0.18520942408376967,0.0,17
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,always_nl,2036,2036,0.40471512770137524,0.2819253438113949,0.12278978388998035,0.25147347740667975,0.343811394891945,0.2819253438113949,0.15913555992141454,0.0,18
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,always_symbolic,2036,2036,0.49410609037328096,0.31237721021611004,0.18172888015717092,0.15029469548133595,0.3555992141453831,0.31237721021611004,0.1306483300589391,0.0,18
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,confidence_by_query,2036,2036,0.47593320235756387,0.31286836935166995,0.16306483300589392,0.16895874263261296,0.3551080550098232,0.31286836935166995,0.14980353634577603,0.0,18
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,query_router,2036,2036,0.49410609037328096,0.3069744597249509,0.18713163064833005,0.14538310412573674,0.3605108055009823,0.3069744597249509,0.11984282907662086,0.0,18
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,always_nl,1595,1595,0.40815047021943573,0.2677115987460815,0.14043887147335424,0.2231974921630094,0.3686520376175549,0.2677115987460815,0.1272727272727273,0.0,19
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,always_symbolic,1595,1595,0.47648902821316613,0.2984326018808777,0.1780564263322884,0.14357366771159874,0.3799373040752351,0.2984326018808777,0.12037617554858931,0.0,19
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,confidence_by_query,1595,1595,0.4626959247648903,0.30156739811912225,0.16112852664576802,0.1774294670846395,0.35987460815047023,0.30156739811912225,0.14043887147335424,0.0,19
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,query_router,1595,1595,0.4670846394984326,0.29968652037617555,0.16739811912225705,0.18244514106583073,0.3504702194357367,0.29968652037617555,0.1322884012539185,0.0,19
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,always_nl,1643,1643,0.39257455873402314,0.2878880097382836,0.1046865489957395,0.2507608034083993,0.3566646378575776,0.2878880097382836,0.18320146074254412,0.0,20
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,always_symbolic,1643,1643,0.5009129640900791,0.3712720632988436,0.12964090079123555,0.13694461351186854,0.36214242239805233,0.3712720632988436,0.24163116250760805,0.0,20
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,confidence_by_query,1643,1643,0.4108338405356056,0.3140596469872185,0.0967741935483871,0.19659160073037127,0.39257455873402314,0.3140596469872185,0.2172854534388314,0.0,20
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,query_router,1643,1643,0.40474741326841146,0.30736457699330494,0.09738283627510651,0.22945830797321973,0.36579427875836884,0.30736457699330494,0.20998174071819842,0.0,20
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,always_nl,1670,1670,0.38323353293413176,0.26107784431137726,0.12215568862275449,0.2341317365269461,0.38263473053892216,0.26107784431137726,0.13892215568862276,0.0,21
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,always_symbolic,1670,1670,0.49880239520958086,0.332934131736527,0.1658682634730539,0.1658682634730539,0.33532934131736525,0.332934131736527,0.16706586826347308,0.0,21
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,confidence_by_query,1670,1670,0.4479041916167665,0.3203592814371258,0.12754491017964073,0.19101796407185628,0.36107784431137724,0.3203592814371258,0.19281437125748505,0.0,21
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,query_router,1670,1670,0.4568862275449102,0.3275449101796407,0.12934131736526946,0.17664670658682635,0.3664670658682635,0.3275449101796407,0.19820359281437125,0.0,21
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,always_nl,1774,1774,0.399098083427283,0.2570462232243517,0.14205186020293123,0.23449830890642615,0.3664036076662909,0.2570462232243517,0.11499436302142049,0.0,22
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,always_symbolic,1774,1774,0.4819616685456595,0.314543404735062,0.16741826381059752,0.14092446448703494,0.37711386696730553,0.314543404735062,0.14712514092446446,0.0,22
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,confidence_by_query,1774,1774,0.43404735062006766,0.30777903043968435,0.1262683201803833,0.20574971815107101,0.3602029312288613,0.30777903043968435,0.18151071025930104,0.0,22
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,query_router,1774,1774,0.4577226606538895,0.3083427282976325,0.14937993235625704,0.1826381059751973,0.3596392333709132,0.3083427282976325,0.15896279594137544,0.0,22
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,always_nl,1513,1513,0.4117647058823529,0.3066754791804362,0.10508922670191673,0.19101123595505617,0.3972240581625909,0.3066754791804362,0.20158625247851947,0.0,23
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,always_symbolic,1513,1513,0.488433575677462,0.3165895571711831,0.17184401850627892,0.10971579643093192,0.4018506278916061,0.3165895571711831,0.14474553866490417,0.0,23
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,confidence_by_query,1513,1513,0.47785855915399866,0.34038334434897555,0.13747521480502314,0.14672835426305353,0.3754130865829478,0.34038334434897555,0.2029081295439524,0.0,23
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,query_router,1513,1513,0.47389292795769994,0.3331130204890945,0.14077990746860541,0.14672835426305353,0.37937871777924653,0.3331130204890945,0.1923331130204891,0.0,23
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,always_nl,1772,1772,0.3922121896162528,0.28442437923250563,0.10778781038374718,0.22404063205417607,0.3837471783295711,0.28442437923250563,0.17663656884875845,0.0,24
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,always_symbolic,1772,1772,0.5011286681715575,0.3577878103837472,0.1433408577878104,0.13148984198645597,0.36738148984198643,0.3577878103837472,0.2144469525959368,0.0,24
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,confidence_by_query,1772,1772,0.44469525959367945,0.32054176072234764,0.12415349887133183,0.17042889390519186,0.38487584650112866,0.32054176072234764,0.19638826185101582,0.0,24
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,query_router,1772,1772,0.44187358916478553,0.314334085778781,0.1275395033860045,0.1636568848758465,0.39446952595936796,0.314334085778781,0.18679458239277652,0.0,24
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,always_nl,1667,1667,0.36532693461307736,0.27834433113377327,0.08698260347930414,0.21595680863827235,0.41871625674865026,0.27834433113377327,0.19136172765446913,0.0,25
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,always_symbolic,1667,1667,0.48170365926814634,0.35692861427714456,0.1247750449910018,0.11457708458308338,0.40371925614877024,0.35692861427714456,0.23215356928614278,0.0,25
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,confidence_by_query,1667,1667,0.40791841631673664,0.3179364127174565,0.08998200359928014,0.17036592681463708,0.4217156568686263,0.3179364127174565,0.22795440911817633,0.0,25
control_cv,qwen3_4b,Qwen3-4B,adaptive_routing,adaptive_routing,query_router,1667,1667,0.3773245350929814,0.28674265146970607,0.09058188362327535,0.20035992801439712,0.42231553689262147,0.28674265146970607,0.19616076784643072,0.0,25
